#Values:
#Time step dt:	1e-05
#Max Time tmax:	15
#Samplesize:	10000
#Outfile:	./Data/data1.dat
#l1: 2	l2: 1	m1: 1	m2: 1
#Time t 	 Angle1 in rad 	 Angle2 in rad 	 AngVel1 in rad/s 	 AngVel2 in rad/s 	 Cart Positions x1 	 y1 	 x2 	 y2 
0	1.5708	1.5708	0	0	2	-1.22465e-16	3	-1.83697e-16
0.00149	1.57079	1.5708	-0.0073575	-5.22881e-13	2	-1.09627e-05	3	-1.09627e-05
0.00299	1.57077	1.5708	-0.014715	-1.6968e-11	2	-4.3998e-05	3	-4.3998e-05
0.00449	1.57075	1.5708	-0.0220725	-1.29451e-10	2	-9.91059e-05	3	-9.91059e-05
0.00599	1.57071	1.5708	-0.02943	-5.46773e-10	2	-0.000176286	3	-0.000176286
0.00749	1.57066	1.5708	-0.0367875	-1.67094e-09	2	-0.00027554	3	-0.00027554
0.00899	1.5706	1.5708	-0.044145	-4.1617e-09	2	-0.000396865	3	-0.000396865
0.01049	1.57053	1.5708	-0.0515025	-9.00104e-09	2	-0.000540263	3	-0.000540264
0.01199	1.57044	1.5708	-0.05886	-1.75577e-08	2	-0.000705734	3	-0.000705734
0.01349	1.57035	1.5708	-0.0662175	-3.16518e-08	2	-0.000893278	3	-0.000893278
0.01499	1.57024	1.5708	-0.073575	-5.36192e-08	2	-0.00110289	3	-0.00110289
0.01649	1.57013	1.5708	-0.0809325	-8.6376e-08	2	-0.00133458	3	-0.00133458
0.01799	1.57	1.5708	-0.08829	-1.33483e-07	2	-0.00158834	3	-0.00158834
0.01949	1.56986	1.5708	-0.0956475	-1.99212e-07	2	-0.00186418	3	-0.00186418
0.02099	1.56972	1.5708	-0.103005	-2.88606e-07	2	-0.00216208	3	-0.00216208
0.02249	1.56956	1.5708	-0.110362	-4.07547e-07	2	-0.00248206	3	-0.00248206
0.02399	1.56938	1.5708	-0.11772	-5.62823e-07	2	-0.00282411	3	-0.00282412
0.02549	1.5692	1.5708	-0.125077	-7.62185e-07	2	-0.00318824	3	-0.00318824
0.02699	1.56901	1.5708	-0.132435	-1.01442e-06	2	-0.00357443	3	-0.00357444
0.02849	1.5688	1.5708	-0.139792	-1.32941e-06	2	-0.0039827	3	-0.00398271
0.02999	1.56859	1.5708	-0.14715	-1.71819e-06	2	-0.00441304	3	-0.00441305
0.03149	1.56836	1.5708	-0.154507	-2.19304e-06	1.99999	-0.00486546	2.99999	-0.00486547
0.03299	1.56813	1.5708	-0.161865	-2.7675e-06	1.99999	-0.00533994	2.99999	-0.00533996
0.03449	1.56788	1.5708	-0.169222	-3.4565e-06	1.99999	-0.0058365	2.99999	-0.00583652
0.03599	1.56762	1.5708	-0.17658	-4.27637e-06	1.99999	-0.00635513	2.99999	-0.00635515
0.03749	1.56735	1.5708	-0.183937	-5.24491e-06	1.99999	-0.00689583	2.99999	-0.00689586
0.03899	1.56707	1.5708	-0.191295	-6.38149e-06	1.99999	-0.0074586	2.99999	-0.00745864
0.04049	1.56677	1.5708	-0.198652	-7.70709e-06	1.99998	-0.00804345	2.99998	-0.0080435
0.04199	1.56647	1.5708	-0.20601	-9.24435e-06	1.99998	-0.00865036	2.99998	-0.00865043
0.04349	1.56616	1.5708	-0.213367	-1.10177e-05	1.99998	-0.00927935	2.99998	-0.00927943
0.04499	1.56583	1.5708	-0.220724	-1.30532e-05	1.99998	-0.00993041	2.99998	-0.00993051
0.04649	1.56549	1.5708	-0.228082	-1.53791e-05	1.99997	-0.0106035	2.99997	-0.0106037
0.04799	1.56515	1.5708	-0.235439	-1.80253e-05	1.99997	-0.0112987	2.99997	-0.0112989
0.04949	1.56479	1.5708	-0.242797	-2.10238e-05	1.99996	-0.012016	2.99996	-0.0120162
0.05099	1.56442	1.5708	-0.250154	-2.44087e-05	1.99996	-0.0127554	2.99996	-0.0127556
0.05249	1.56404	1.5708	-0.257511	-2.82162e-05	1.99995	-0.0135168	2.99995	-0.013517
0.05399	1.56365	1.5708	-0.264869	-3.24846e-05	1.99995	-0.0143002	2.99995	-0.0143005
0.05549	1.56324	1.5708	-0.272226	-3.72546e-05	1.99994	-0.0151058	2.99994	-0.0151061
0.05699	1.56283	1.5708	-0.279583	-4.25691e-05	1.99994	-0.0159334	2.99994	-0.0159338
0.05849	1.5624	1.5708	-0.28694	-4.84734e-05	1.99993	-0.0167831	2.99993	-0.0167836
0.05999	1.56197	1.5708	-0.294298	-5.50154e-05	1.99992	-0.0176549	2.99992	-0.0176554
0.06149	1.56152	1.5708	-0.301655	-6.22453e-05	1.99991	-0.0185487	2.99991	-0.0185493
0.06299	1.56106	1.5708	-0.309012	-7.0216e-05	1.99991	-0.0194646	2.99991	-0.0194653
0.06449	1.56059	1.5708	-0.316369	-7.8983e-05	1.9999	-0.0204025	2.9999	-0.0204034
0.06599	1.56011	1.5708	-0.323726	-8.86045e-05	1.99989	-0.0213625	2.99989	-0.0213635
0.06749	1.55962	1.5708	-0.331083	-9.91415e-05	1.99988	-0.0223446	2.99988	-0.0223457
0.06899	1.55912	1.5708	-0.33844	-0.000110658	1.99986	-0.0233488	2.99986	-0.0233501
0.07049	1.55861	1.57079	-0.345797	-0.00012322	1.99985	-0.024375	2.99985	-0.0243764
0.07199	1.55808	1.57079	-0.353154	-0.000136898	1.99984	-0.0254233	2.99984	-0.0254249
0.07349	1.55755	1.57079	-0.360511	-0.000151764	1.99982	-0.0264936	2.99982	-0.0264955
0.07499	1.557	1.57079	-0.367868	-0.000167894	1.99981	-0.027586	2.99981	-0.0275881
0.07649	1.55645	1.57079	-0.375225	-0.000185367	1.99979	-0.0287005	2.99979	-0.0287028
0.07799	1.55588	1.57079	-0.382581	-0.000204265	1.99978	-0.029837	2.99978	-0.0298396
0.07949	1.5553	1.57079	-0.389938	-0.000224673	1.99976	-0.0309956	2.99976	-0.0309985
0.08099	1.55471	1.57079	-0.397295	-0.000246681	1.99974	-0.0321762	2.99974	-0.0321795
0.08249	1.55411	1.57079	-0.404651	-0.00027038	1.99972	-0.0333789	2.99972	-0.0333826
0.08399	1.55349	1.57079	-0.412008	-0.000295865	1.9997	-0.0346036	2.9997	-0.0346078
0.08549	1.55287	1.57079	-0.419364	-0.000323236	1.99968	-0.0358504	2.99968	-0.035855
0.08699	1.55224	1.57079	-0.42672	-0.000352595	1.99966	-0.0371193	2.99966	-0.0371244
0.08849	1.55159	1.57079	-0.434076	-0.00038405	1.99963	-0.0384102	2.99963	-0.0384158
0.08999	1.55093	1.57079	-0.441432	-0.000417709	1.99961	-0.0397231	2.99961	-0.0397294
0.09149	1.55027	1.57079	-0.448788	-0.000453686	1.99958	-0.0410581	2.99958	-0.041065
0.09299	1.54959	1.57079	-0.456144	-0.000492099	1.99955	-0.0424151	2.99955	-0.0424228
0.09449	1.5489	1.57079	-0.4635	-0.00053307	1.99952	-0.0437942	2.99952	-0.0438026
0.09599	1.5482	1.57079	-0.470856	-0.000576724	1.99949	-0.0451953	2.99949	-0.0452046
0.09749	1.54748	1.57079	-0.478211	-0.00062319	1.99946	-0.0466185	2.99946	-0.0466286
0.09899	1.54676	1.57079	-0.485567	-0.000672602	1.99942	-0.0480637	2.99942	-0.0480748
0.10049	1.54603	1.57078	-0.492922	-0.000725097	1.99939	-0.0495309	2.99939	-0.0495431
0.10199	1.54528	1.57078	-0.500277	-0.000780818	1.99935	-0.0510202	2.99935	-0.0510335
0.10349	1.54453	1.57078	-0.507632	-0.000839909	1.99931	-0.0525315	2.99931	-0.052546
0.10499	1.54376	1.57078	-0.514987	-0.000902523	1.99927	-0.0540648	2.99927	-0.0540806
0.10649	1.54298	1.57078	-0.522342	-0.000968812	1.99923	-0.0556201	2.99923	-0.0556373
0.10799	1.54219	1.57078	-0.529697	-0.00103894	1.99918	-0.0571975	2.99918	-0.0572162
0.10949	1.54139	1.57078	-0.537051	-0.00111306	1.99914	-0.0587969	2.99914	-0.0588172
0.11099	1.54058	1.57077	-0.544405	-0.00119135	1.99909	-0.0604183	2.99909	-0.0604403
0.11249	1.53976	1.57077	-0.551759	-0.00127398	1.99904	-0.0620617	2.99904	-0.0620856
0.11399	1.53893	1.57077	-0.559113	-0.00136113	1.99898	-0.0637271	2.99898	-0.063753
0.11549	1.53808	1.57077	-0.566467	-0.00145297	1.99893	-0.0654145	2.99893	-0.0654425
